Anthoxanthum odoratum
Anthribus nebulosus
Anthriscus sylvestris
Anthus cinnamomeus
Anthus hodgsoni
Anthus spinoletta
Anthus trivialis
Anticarsia gemmatalis
Antigonia capros
Antigonia rubescens
Antimora rostrata
Antipathes galapagensis
Antipodophlebia asthenes
Antistea elegans
Antrozous pallidus
Anuraeopsis fissa
Anurida maritima
Anurida pygmaea
Anuropus antarcticus
Anuropus pacificus
Anyphaena accentuata
Anyphaena pectorosa
Anystis agilis
Aonides oxycephala
Apalone ferox
Apamea amputatrix
Apamea devastator
Apamea plutonia
Aparallactus capensis
Aparallactus werneri
Apeltes quadracus
Aphaenogaster senilis
Aphanopus carbo
Aphareus furca
Aphelenchoides parietinus
Aphelocheirus aestivalis
Aphelocoma californica
Apherusa bispinosa
Apherusa jurinei
Aphia minuta
Aphis nerii
Aphodius fimetarius
Aphomia terrenella
Aphredoderus sayanus
Aphrodes bicincta
Aphrodes makarovi
Aphrodita aculeata
Aphrodroma brevirostris
Aphthona lutescens
Aphthona nigriceps
Aphyocharax alburnus
Apiomerus californicus
Apiomerus crassipes
Apiomerus spissipes
Apion cruentatum
Apion frumentarium
Apis mellifera
Apistosia judas
Aplidium lubricum
Aplidium vastum
Aplocheilus panchax
Aplodinotus grunniens
Aplonis metallica
Aplysia californica
Aplysia dactylomela
Aplysia punctata
Aplysia vaccaria
Aplysina fistularis
Aplysina fulva
Apoamphisiella vernalis
Apocorophium lacustre
Apodemus agrarius
Apodemus argenteus
Apodemus flavicollis
Apodemus mystacinus
Apodemus speciosus
Apodemus sylvaticus
Apogeshna stenialis
Apogon dovii
Apogonops anomalus
Apoikiospumella mondseeiensis
Aporcelaimellus obtusicaudatus
Aporocidaris milleri
Aporrectodea caliginosa
Aporrectodea rosea
Aporrhais pespelecani
Aporus unicolor
Apostenus fuscus
Apostichopus californicus
Apostolepis ammodites
Apostolepis assimilis
Apostolepis cearensis
Apostolepis multicincta
Apostolepis pymi
Aprasia repens
Aprasia striolata
Aprion virescens
Apristurus brunneus
Aprostocetus eriophyes
Apsectrotanypus trifascipennis
Apseudes acutifrons
Apseudopsis latreillii
Aptenodytes forsteri
Aptenodytes patagonicus
Apteronotus albifrons
Apteronotus bonapartii
Aptocyclus ventricosus
Aquila audax
Aquila chrysaetos
Aquila rapax
Arachnomyxa cryptophaga
Araeoncus humilis
Aramides ypecaha
Aramus guarauna
Araneus bicentenarius
Araneus diadematus
Araneus pallidus
Araneus quadratus
Araneus sturmi
Araneus thaddeus
Araneus trifolium
Araniella cucurbitina
Arapaima gigas
Aratinga cactorum
Aratus pisonii
Arbacia punctulata
Arca zebra
Archaias angulatus
Archerella flavum
Archichauliodes diversus
Archidoris montereyensis
Archidoris odhneri
Archidoris pseudoargus
Archilestes grandis
Archilochus colubris
Archips cerasivorana
Archips semiferanus
Archipsocus panama
Architeuthis dux
Archosargus probatocephalus
Archosargus rhomboidalis
Arcopagia fausta
Arctia festiva
Arctica islandica
Arctocephalus australis
Arctocephalus forsteri
Arctocephalus galapagoensis
Arctocephalus gazella
Arctocephalus philippii
Arctocephalus pusillus
Arctocephalus townsendi
Arctocephalus tropicalis
Arctocorisa germari
Arctogadus glacialis
Arctogalidia trivirgata
Arctopsyche ladogensis
Arctosa leopardus
Arctosa lutetiana
Arctoseius magnanalis
Arctozenus risso
Arcturus baffini
Ardea alba
Ardea cinerea
Ardea goliath
Ardea herodias
Ardea melanocephala
Arenaeus cribrarius
Arenaria interpres
Arenaria melanocephala
Arenicola marina
Arenigobius frenatus
Argas radiatus
Argenna subnigra
Argentina elongata
Argentina silus
Argentina sphyraena
Argia fumipennis
Argia immunda
Argia moesta
Argia sedula
Argia tibialis
Argia translata
Argiope aetherea
Argiope argentata
Argiope aurantia
Argiope bruennichi
Argiope catenulata
Argiope trifasciata
Argis crassa
Argis ovifer
Argissa hamatipes
Argonauta argo
Argonauta nodosa
Argopecten irradians
Argynnis paphia
Argyra vestita
Argyresthia alternatella
Argyresthia aurulentella
Argyresthia canadensis
Argyresthia thuiella
Argyripnus brocki
Argyrodes nephilae
Argyrogena fasciolata
Argyroneta aquatica
Argyropelecus aculeatus
Argyropelecus affinis
Argyropelecus hemigymnus
Argyropelecus olfersii
Argyropelecus sladeni
Argyrophis diardii
Argyrops spinifer
Argyrosomus hololepidotus
Argyrosomus inodorus
Argyrosomus japonicus
Argyrosomus regius
Argyrosomus thorpei
Argyrotaenia quercifoliana
Argyrotome alba
Argyrozona argyrozona
Ariadna arthuri
Aricidea catherinae
Aricidea suecica
Arigomphus cornutus
Arigomphus pallidus
Arigomphus submedianus
Arilus cristatus
Ariomma bondi
Arion ater
Arion distinctus
Arion silvaticus
Arion subfuscus
Ariopsis felis
Aristaeomorpha foliacea
Aristeus antennatus
Aristotelia roseosuffusella
Arius latiscutatus
Arius maculatus
Arizona elegans
Armadillidium opacum
Armadillidium pictum
Armadillidium vulgare
Armadillogorgia cyathella
Armases angustipes
Armases cinereum
Armina californica
Arnoglossus imperialis
Arnoglossus laterna
Arothron hispidus
Arothron meleagris
Arotrolepis filicauda
Arremonops rufivirgatus
Arrhenatherum elatius
Arrhis phyllonyx
Arrhopalites pygmaeus
Arripis georgianus
Arripis trutta
Arripis truttacea
Artedidraco lonnbergi
Artedidraco orianae
Artediellus europeus
Artediellus uncinatus
Artedius fenestralis
Artemesia longinaris
Arthaldeus pascuellus
Arthrocnemum subterminale
