Aspidoscelis angusticeps
Aspidoscelis ceralbensis
Aspidoscelis costata
Aspidoscelis exsanguis
Aspidoscelis gularis
Aspidoscelis guttata
Aspidoscelis hyperythra
Aspidoscelis inornata
Aspidoscelis lineattissima
Aspidoscelis sackii
Aspidoscelis sexlineata
Aspidoscelis tesselata
Aspidoscelis tigris
Aspidoscelis uniparens
Aspidosiphon muelleri
Aspidura guentheri
Aspidura trachyprocta
Aspistor quadriscutis
Aspronema dorsivittata
Assiminea californica
Astacilla dilatata
Astacilla longicornis
Astacus astacus
Astacus leptodactylus
Astarte montagui
Astarte polaris
Astatotilapia flaviijosephi
Asterias amurensis
Asterias forbesi
Asterina gibbosa
Asterina phylactica
Asterionella japonica
Asterropteryx semipunctata
Asthenargus paganus
Astrangia lajollaensis
Astrocaryum standleyanum
Astrochlamys bruneus
Astrometis sertulifera
Astronesthes lucifer
Astropecten irregularis
Astroscopus guttatus
Astrotoma agassizii
Astyanax altiparanae
Astyanax bimaculatus
Astyanax bockmanni
Astyanax fasciatus
Astylosternus diadematus
Atalacmea fragilis
Atalopedes campestris
Atalophlebioides cromwelli
Atelecyclus rotundatus
Atergatis roseus
Athanas nitescens
Athene cunicularia
Atheresthes evermanni
Atheresthes stomias
Atherina boyeri
Atherina breviceps
Atherina presbyter
Atherinomorus lacunosus
Atherinomorus stipes
Atherinomorus vaigiensis
Atherinops affinis
Atherinopsis californiensis
Atherurus africanus
Atheta crassicornis
Atheta elongatula
Atheta fungicola
Atheta oblita
Atheta palustris
Atheta triangulum
Athoracophorus bitentaculatus
Athous bicolor
Athous haemorrhoidalis
Athous subfuscus
Athous vittatus
Athous zebei
Athysanus argentarius
Atilax paludinosus
Atolla wyvillei
Atomaria atricapilla
Atomaria basalis
Atomaria fuscata
Atomaria linearis
Atomaria nigriventris
Atomaria punctithorax
Atractus albuquerquei
Atractus collaris
Atractus insipidus
Atractus latifrons
Atractus major
Atractus manizalesensis
Atractus occipitoalbus
Atractus pantostictus
Atractus paraguayensis
Atractus sanctaemartae
Atractus torquatus
Atractus trilineatus
Atractus zebrinus
Atropacarus striculus
Atrophacanthus japonicus
Atropoides nummifer
Atropoides occiduus
Attagenus unicolor
Attalea rostrata
Attelabus pisi
Atylus swammerdami
Atyoida bisulcata
Atypus affinis
Atys cylindricus
Aubria subsigillata
Auchenoceros punctatus
Auchenoglanis biscutatus
Augochlora pura
